,open_covid_region_code,date,hospitalized_new
157,FR-02,2020-07-23,4.0
158,FR-02,2020-07-30,6.0
159,FR-02,2020-08-06,11.0
160,FR-02,2020-08-13,13.0
161,FR-02,2020-08-20,6.0
162,FR-02,2020-08-27,6.0
163,FR-02,2020-09-03,9.0
164,FR-02,2020-09-10,5.0
165,FR-02,2020-09-17,19.0
166,FR-02,2020-09-24,21.0
167,FR-02,2020-10-01,3.0
168,FR-03,2020-03-19,29.0
169,FR-03,2020-03-26,54.0
170,FR-03,2020-04-02,41.0
171,FR-03,2020-04-09,31.0
172,FR-03,2020-04-16,23.0
173,FR-03,2020-04-23,14.0
174,FR-03,2020-04-30,11.0
175,FR-03,2020-05-07,8.0
176,FR-03,2020-05-14,10.0
177,FR-03,2020-05-21,15.0
178,FR-03,2020-05-28,7.0
179,FR-03,2020-06-04,9.0
180,FR-03,2020-06-11,7.0
181,FR-03,2020-06-18,1.0
182,FR-03,2020-06-25,1.0
183,FR-03,2020-07-02,1.0
184,FR-03,2020-07-09,1.0
185,FR-03,2020-07-16,0.0
186,FR-03,2020-07-23,2.0
187,FR-03,2020-07-30,0.0
188,FR-03,2020-08-06,3.0
189,FR-03,2020-08-13,0.0
190,FR-03,2020-08-20,5.0
191,FR-03,2020-08-27,2.0
192,FR-03,2020-09-03,5.0
193,FR-03,2020-09-10,11.0
194,FR-03,2020-09-17,19.0
195,FR-03,2020-09-24,12.0
196,FR-03,2020-10-01,3.0
197,FR-04,2020-03-19,19.0
198,FR-04,2020-03-26,33.0
199,FR-04,2020-04-02,37.0
200,FR-04,2020-04-09,22.0
201,FR-04,2020-04-16,23.0
202,FR-04,2020-04-23,12.0
203,FR-04,2020-04-30,4.0
204,FR-04,2020-05-07,1.0
205,FR-04,2020-05-14,5.0
206,FR-04,2020-05-21,0.0
207,FR-04,2020-05-28,1.0
208,FR-04,2020-06-04,0.0
209,FR-04,2020-06-11,0.0
210,FR-04,2020-06-18,1.0
211,FR-04,2020-06-25,1.0
212,FR-04,2020-07-02,0.0
213,FR-04,2020-07-09,0.0
214,FR-04,2020-07-16,0.0
215,FR-04,2020-07-23,0.0
216,FR-04,2020-07-30,0.0
217,FR-04,2020-08-06,3.0
218,FR-04,2020-08-13,0.0
219,FR-04,2020-08-20,3.0
220,FR-04,2020-08-27,7.0
221,FR-04,2020-09-03,4.0
222,FR-04,2020-09-10,5.0
223,FR-04,2020-09-17,6.0
224,FR-04,2020-09-24,11.0
225,FR-04,2020-10-01,2.0
226,FR-05,2020-03-19,27.0
227,FR-05,2020-03-26,47.0
228,FR-05,2020-04-02,27.0
229,FR-05,2020-04-09,11.0
230,FR-05,2020-04-16,12.0
231,FR-05,2020-04-23,5.0
232,FR-05,2020-04-30,10.0
233,FR-05,2020-05-07,2.0
234,FR-05,2020-05-14,2.0
235,FR-05,2020-05-21,0.0
236,FR-05,2020-05-28,1.0
237,FR-05,2020-06-04,1.0
238,FR-05,2020-06-11,1.0
239,FR-05,2020-06-18,0.0
240,FR-05,2020-06-25,0.0
241,FR-05,2020-07-02,0.0
242,FR-05,2020-07-09,1.0
243,FR-05,2020-07-16,0.0
244,FR-05,2020-07-23,0.0
245,FR-05,2020-07-30,1.0
246,FR-05,2020-08-06,2.0
